"Timestamp","Gender","Education Level","College","Programme Level","Residence","Do you still use the university-provided SIM card?","  How frequently do you use your sim? ","How would you rate the connectivity strength of your network? (1 being the lowest, 5 being the highest) ","What do you use your Telecel school-provided SIM card for?
* Making  calls ","What do you use your Telecel school-provided SIM card for?
* Browsing  the internet","What do you use your Telecel school-provided SIM card for?
* Sending  texts message(SMS)","Do you use other networks besides your vodafone (Telecel)? * ","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to: 
* Poor Network Quality Coverage","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to: 
* Unsatisfactory Customer Service","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to: 
* Better services from other network providers ","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to: 
* High Costs of Services","Do you exhaust your monthly data allowance? (5GB) ","What is your approximate monthly data usage? (in GB)","What changes  or improvements  would you  like  to see in your school-provided  SIM card services? ......"
"2024/06/11 3:15:06 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","Off-campus","Yes","Daily","3","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","More than 8","Increase Download and Upload speeds and better network signals"
"2024/06/11 3:28:53 PM GMT","Female","Undergraduate","College of Agriculture and Natural Resources","400","Off-campus","Yes","Daily","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","3-5",""
"2024/06/11 3:37:07 PM GMT","Female","Undergraduate","College of Agriculture and Natural Resources","400","Off-campus","No","Rarely","3","No","No","No","Yes","Yes","Yes","Yes","No","No","0-2",""
"2024/06/11 3:45:06 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","Off-campus","Yes","Daily","2","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","More than 8",""
"2024/06/11 4:33:06 PM GMT","Female","Undergraduate","College of Science","400","On-campus","Yes","Occasionally","2","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","6-8",""
"2024/06/11 4:45:18 PM GMT","Male","Undergraduate","College of Art and Built Environment","400","Off-campus","Yes","Several times a week","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","More than 8","Better network connection "
"2024/06/11 5:09:25 PM GMT","Female","Undergraduate","College of Science","400","Off-campus","Yes","Daily","3","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","More than 8",""
"2024/06/11 5:18:56 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","Off-campus","Yes","Daily","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Almost 70GB",""
"2024/06/11 5:34:11 PM GMT","Female","Undergraduate","College of Science","400","Off-campus","Yes","Daily","2","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","More than 8",""
"2024/06/11 5:38:52 PM GMT","Male","Undergraduate","College of Science","400","On-campus","Yes","Daily","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3-5","Providing better network service centers and poles "
"2024/06/11 6:25:45 PM GMT","Female","Undergraduate","College of Agriculture and Natural Resources","200","On-campus","Yes","Occasionally","2","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","6-8",""
"2024/06/11 6:36:43 PM GMT","Female","Undergraduate","College of Humanity and Social Science","400","On-campus","Yes","Daily","3","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","More than 8","Provìde more than 5GB data for a month"
"2024/06/11 6:45:58 PM GMT","Female","Undergraduate","College of Humanity and Social Science","400","On-campus","Yes","Daily","4","Yes","Yes","No","Yes","No","No","Yes","No","Yes","3-5","They should strengthen their network system to ensure effective delivering of their service "
"2024/06/11 6:59:51 PM GMT","Male","Undergraduate","College of Engineering","300","Off-campus","No","Never","1","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","More than 8","I don’t know"
"2024/06/11 7:20:16 PM GMT","Male","Undergraduate","College of Engineering","100","On-campus","Yes","Daily","2","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","3-5",""
"2024/06/11 7:21:42 PM GMT","Male","Undergraduate","College of Engineering","100","On-campus","No","Never","1","No","No","No","Yes","No","No","Yes","No","No","0-2",""
"2024/06/11 7:26:27 PM GMT","Female","Undergraduate","College of Science","100","On-campus","Yes","Occasionally","3","No","Yes","No","Yes","Yes","No","Yes","Yes","No","6-8",""
"2024/06/11 7:30:44 PM GMT","Female","Undergraduate","College of Science","400","On-campus","Yes","Daily","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","More than 8",""
"2024/06/11 7:34:48 PM GMT","Female","Undergraduate","School of Business","400","On-campus","Yes","Several times a week","3","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","More than 8",""
