Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage
Female,School of Business,Yes,400,Off-campus,No,Several times a week,4,"SMS/Text messaging, None of the above, Voice Calls",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage, High costs/pricing",9.05
Male,College of Science,Yes,600,Off-campus,No,Daily,4,"SMS/Text messaging, Voice Calls, None of the above",Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",9.06
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Occasionally,3,"SMS/Text messaging, Voice Calls, Mobile data/Internet",No,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",4.95
Female,School of Business,Yes,100,Off-campus,No,Several times a week,3,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,No,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",6.32
Female,College of Art and Built Environment,Yes,300,Off-campus,Yes,Daily,1,"Mobile data/Internet, None of the above, Voice Calls",Yes,No,"Poor network quality/coverage, Insufficient data allowance",6.01
Male,School of Business,Yes,100,Off-campus,No,Several times a week,3,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing",4.34
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Several times a week,2,"Mobile data/Internet, Voice Calls",No,Yes,Unsatisfactory customer service,8.58
Female,School of Business,No,400,On-campus,Yes,Several times a week,3,"SMS/Text messaging, Mobile data/Internet",No,Yes,"High costs/pricing, Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",5.51
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Occasionally,2,"Voice Calls, None of the above, Mobile data/Internet, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",8.54
Female,College of Humanity and Social Science,Yes,600,Off-campus,Yes,Several times a week,5,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,Poor network quality/coverage,4.42
Male,College of Engineering,Yes,200,On-campus,No,Daily,5,"Voice Calls, SMS/Text messaging, None of the above",No,Yes,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",9.74
Male,College of Engineering,Yes,100,Off-campus,Yes,Occasionally,2,"None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",5.51
Female,College of Agriculture and Natural Resources,Yes,100,On-campus,No,Daily,2,"Voice Calls, SMS/Text messaging, Mobile data/Internet",Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",1.87
Male,College of Humanity and Social Science,No,300,Off-campus,No,Never,3,Mobile data/Internet,No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",3.15
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Several times a week,1,"Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",9.11
Male,College of Agriculture and Natural Resources,No,200,Off-campus,Yes,Occasionally,5,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,"Unsatisfactory customer service, High costs/pricing",3.38
Female,College of Agriculture and Natural Resources,No,200,Off-campus,No,Several times a week,4,"SMS/Text messaging, None of the above, Mobile data/Internet",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",3.84
Male,College of Art and Built Environment,No,400,Off-campus,No,Occasionally,3,Voice Calls,No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",1.93
Male,College of Engineering,No,100,On-campus,No,Several times a week,3,"Voice Calls, None of the above, SMS/Text messaging, Mobile data/Internet",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",7.02
Female,College of Science,No,600,Off-campus,Yes,Rarely,1,"Voice Calls, Mobile data/Internet, SMS/Text messaging, None of the above",No,Yes,High costs/pricing,2.08
Male,College of Art and Built Environment,Yes,100,Off-campus,No,Occasionally,1,"Voice Calls, SMS/Text messaging",No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",1.32
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Several times a week,2,"Voice Calls, SMS/Text messaging, None of the above",No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",4.92
Male,College of Humanity and Social Science,Yes,400,Off-campus,No,Several times a week,3,"None of the above, Mobile data/Internet, SMS/Text messaging",Yes,Yes,Insufficient data allowance,8.89
Female,College of Science,No,100,On-campus,No,Daily,4,"Mobile data/Internet, None of the above",Yes,No,"Insufficient data allowance, Poor network quality/coverage",7.78
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Rarely,4,"Voice Calls, SMS/Text messaging, Mobile data/Internet",No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",1.37
Female,College of Art and Built Environment,Yes,500,On-campus,Yes,Occasionally,4,"Voice Calls, None of the above",No,Yes,Unsatisfactory customer service,1.55
Male,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Daily,1,"Mobile data/Internet, SMS/Text messaging, None of the above",Yes,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",5.06
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Daily,1,"Voice Calls, SMS/Text messaging",No,Yes,Insufficient data allowance,1.95
Male,College of Agriculture and Natural Resources,No,300,Off-campus,No,Daily,3,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,No,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",3.65
Female,College of Humanity and Social Science,No,400,Off-campus,Yes,Daily,2,"Voice Calls, None of the above, Mobile data/Internet, SMS/Text messaging",No,No,Poor network quality/coverage,4.08
Male,College of Art and Built Environment,Yes,300,Off-campus,No,Occasionally,4,"Mobile data/Internet, None of the above",Yes,Yes,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage, Insufficient data allowance",1.42
Female,School of Business,Yes,400,Off-campus,Yes,Several times a week,3,Mobile data/Internet,No,Yes,High costs/pricing,2.42
Female,College of Humanity and Social Science,Yes,200,Off-campus,No,Daily,2,"Mobile data/Internet, Voice Calls, None of the above, SMS/Text messaging",Yes,Yes,Unsatisfactory customer service,9.57
Female,School of Business,No,400,Off-campus,No,Several times a week,1,"None of the above, Voice Calls",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",5.39
Male,College of Engineering,Yes,200,Off-campus,No,Daily,3,Mobile data/Internet,No,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",6.11
Female,College of Science,No,200,Off-campus,No,Occasionally,1,"Mobile data/Internet, SMS/Text messaging, None of the above",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",6.16
Male,College of Art and Built Environment,No,400,Off-campus,Yes,Occasionally,1,None of the above,No,No,Unsatisfactory customer service,4.01
