Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage
Female,School of Business,No,400,Off-campus,Yes,Occasionally,3,Voice Calls,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance",1.82
Male,College of Agriculture and Natural Resources,No,400,Off-campus,Yes,Daily,6,"SMS/Text messaging, Mobile data/Internet, None of the above",Yes,Yes,Insufficient data allowance,6.64
Female,College of Humanity and Social Science,Yes,200,On-campus,No,Several times a week,3,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",Yes,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",2.05
Male,College of Science,Yes,100,Off-campus,Yes,Daily,2,"Voice Calls, Mobile data/Internet, SMS/Text messaging, None of the above",No,Yes,High costs/pricing,8.56
Female,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Occasionally,4,SMS/Text messaging,Yes,Yes,"High costs/pricing, Unsatisfactory customer service",6.06
Female,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Several times a week,4,"Mobile data/Internet, SMS/Text messaging",No,Yes,High costs/pricing,5.9
Female,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,3,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",8.88
Female,School of Business,Yes,100,Off-campus,No,Several times a week,3,Voice Calls,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",8.35
Male,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Occasionally,3,"None of the above, Mobile data/Internet",Yes,No,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",4.51
Male,College of Engineering,Yes,400,Off-campus,Yes,Occasionally,1,"Mobile data/Internet, SMS/Text messaging",No,Yes,"Unsatisfactory customer service, High costs/pricing",7.56
Female,School of Business,Yes,600,Off-campus,No,Occasionally,1,"SMS/Text messaging, None of the above, Mobile data/Internet",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",3.01
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Daily,4,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",No,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",5.98
Male,College of Engineering,Yes,400,Off-campus,Yes,Never,4,"Voice Calls, Mobile data/Internet, None of the above",No,Yes,"Unsatisfactory customer service, High costs/pricing",5.17
Female,School of Business,Yes,200,Off-campus,No,Daily,4,"None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",3.53
Female,College of Humanity and Social Science,Yes,600,Off-campus,No,Several times a week,2,"Voice Calls, SMS/Text messaging, None of the above",No,Yes,High costs/pricing,5.18
Female,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,5,"SMS/Text messaging, Mobile data/Internet",Yes,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",0.94
Male,School of Business,Yes,500,Off-campus,Yes,Several times a week,3,"SMS/Text messaging, Voice Calls, None of the above",No,Yes,"Unsatisfactory customer service, Insufficient data allowance",3.74
Male,College of Engineering,Yes,400,Off-campus,No,Occasionally,5,"Voice Calls, SMS/Text messaging",No,Yes,High costs/pricing,4.86
Male,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Daily,3,Voice Calls,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",1.28
Male,School of Business,No,300,Off-campus,No,Several times a week,3,Voice Calls,No,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",3.86
Male,College of Art and Built Environment,Yes,500,Off-campus,Yes,Several times a week,2,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",9.64
Male,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,5,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",No,Yes,"High costs/pricing, Unsatisfactory customer service",3.4
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,1,None of the above,No,Yes,"Unsatisfactory customer service, High costs/pricing",4.89
Male,College of Art and Built Environment,No,600,Off-campus,Yes,Occasionally,1,"None of the above, Mobile data/Internet, Voice Calls",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",4.84
Male,School of Business,Yes,300,Off-campus,No,Daily,6,None of the above,Yes,Yes,"High costs/pricing, Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",6.43
Male,College of Art and Built Environment,No,200,Off-campus,No,Several times a week,5,None of the above,Yes,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",7.25
Male,College of Science,No,100,Off-campus,Yes,Several times a week,5,"Mobile data/Internet, None of the above",Yes,Yes,None,5.17
Male,College of Humanity and Social Science,Yes,200,Off-campus,No,Daily,1,Voice Calls,No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",9.82
Male,College of Engineering,Yes,200,On-campus,Yes,Daily,2,"None of the above, Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,Yes,"High costs/pricing, Unsatisfactory customer service",1.0
Male,College of Science,Yes,300,Off-campus,No,Daily,1,Voice Calls,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",2.13
Male,College of Engineering,No,100,Off-campus,Yes,Several times a week,5,"Voice Calls, None of the above, SMS/Text messaging",Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",1.22
Male,College of Science,Yes,200,Off-campus,No,Several times a week,4,"Mobile data/Internet, SMS/Text messaging, Voice Calls",No,No,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",5.12
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Rarely,4,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,None,0.8
Female,College of Art and Built Environment,No,200,Off-campus,Yes,Daily,3,"None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",9.48
Male,College of Art and Built Environment,No,300,Off-campus,No,Several times a week,4,Voice Calls,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",9.88
Female,College of Science,Yes,400,Off-campus,No,Several times a week,3,"Voice Calls, None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service",0.71
Female,College of Humanity and Social Science,Yes,600,Off-campus,No,Daily,2,SMS/Text messaging,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service",6.7
Male,College of Science,Yes,200,Off-campus,No,Daily,1,"SMS/Text messaging, None of the above",Yes,Yes,High costs/pricing,9.2
Female,College of Humanity and Social Science,Yes,100,Off-campus,No,Never,4,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",7.77
Female,College of Art and Built Environment,No,100,Off-campus,No,Several times a week,6,Mobile data/Internet,Yes,Yes,None,0.94
Male,College of Humanity and Social Science,No,300,Off-campus,Yes,Occasionally,1,SMS/Text messaging,No,Yes,"Unsatisfactory customer service, Insufficient data allowance",7.27
Male,School of Business,Yes,600,On-campus,No,Occasionally,2,"Mobile data/Internet, Voice Calls, None of the above",Yes,Yes,Insufficient data allowance,1.11
Male,College of Engineering,Yes,500,Off-campus,No,Daily,2,"SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",4.26
Male,College of Humanity and Social Science,Yes,300,Off-campus,Yes,Daily,3,"SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,Yes,High costs/pricing,4.87
Female,College of Art and Built Environment,Yes,100,On-campus,No,Occasionally,1,"Mobile data/Internet, None of the above",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage",1.47
Male,College of Art and Built Environment,Yes,300,Off-campus,Yes,Occasionally,3,"SMS/Text messaging, None of the above, Mobile data/Internet, Voice Calls",Yes,Yes,"High costs/pricing, Poor network quality/coverage",6.69
