Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Other_Networks,Poor_Network_Quality_Coverage,Insufficient_Data_Allowance,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage
0,4,0,100,1,0,2,4,1,1,1,1,1,1,1,1,1,4
1,4,1,100,0,0,4,5,1,1,1,1,1,1,0,0,0,0
1,0,0,200,0,0,1,1,1,1,1,0,1,1,1,1,1,4
0,4,0,400,1,1,0,4,1,1,1,0,1,1,1,1,1,1
0,4,1,400,1,1,2,5,0,0,1,1,1,0,0,0,1,0
1,5,0,600,0,1,0,2,1,1,1,0,0,1,1,1,1,4
0,0,0,300,0,1,0,3,1,1,0,0,1,1,1,1,1,0
0,3,0,300,0,1,0,3,1,1,1,0,1,1,1,1,1,0
1,2,1,200,0,1,4,3,0,1,0,0,1,0,0,0,0,1
0,1,0,100,0,0,4,1,0,1,0,0,1,1,1,1,1,2
0,1,0,300,0,1,0,3,1,0,0,0,1,1,1,1,1,1
1,3,1,100,1,1,2,1,1,0,1,1,1,1,0,0,0,4
0,1,0,100,0,0,2,3,1,1,1,1,1,1,1,1,1,2
0,5,0,400,0,1,2,3,0,1,1,1,1,1,1,1,1,3
0,0,0,200,0,1,1,2,1,1,1,0,1,1,1,1,1,4
1,5,1,400,0,0,0,4,1,1,0,1,1,0,0,0,0,4
1,5,0,400,0,1,4,4,0,1,1,1,1,1,1,1,1,2
0,0,1,100,0,1,2,1,0,1,1,0,1,0,0,0,0,1
0,2,0,200,0,0,0,2,1,0,1,1,1,1,1,1,1,2
0,3,0,600,0,0,2,5,1,1,1,1,0,1,1,1,1,0
0,1,1,300,0,0,2,5,1,1,1,1,1,0,0,0,0,3
1,5,0,100,0,1,4,3,1,1,1,0,0,1,1,1,1,1
0,0,0,100,0,1,4,1,1,1,1,1,1,1,1,1,1,2
1,0,0,300,0,0,3,2,1,1,1,0,0,1,1,1,1,2
1,2,0,300,0,0,4,4,1,1,0,0,1,1,1,1,1,3
1,0,1,200,0,0,2,1,1,1,1,0,1,0,0,0,0,1
0,4,0,400,1,1,4,4,1,0,1,0,1,1,1,1,1,0
0,1,0,200,0,0,2,4,0,0,0,0,1,1,1,1,1,3
1,3,0,200,0,0,2,2,1,1,1,0,0,1,1,1,1,1
0,5,0,500,0,0,3,5,1,1,1,0,1,1,1,1,1,4
0,4,1,100,0,0,0,4,1,0,0,1,1,0,1,0,0,3
1,2,1,100,0,0,4,3,1,0,1,1,1,1,0,0,0,4
0,2,1,300,0,1,0,5,1,0,1,0,1,1,0,0,0,1
1,4,0,200,1,0,4,1,1,1,1,0,1,1,1,1,1,4
0,1,0,400,0,0,0,5,1,1,1,0,1,1,1,1,1,0
0,3,1,300,0,1,0,4,1,1,0,1,1,0,0,1,1,0
1,1,0,100,0,0,2,1,1,1,0,0,1,1,1,1,1,1
1,3,0,500,1,0,2,1,1,0,0,1,1,1,1,1,1,2
0,3,0,400,0,1,4,2,1,1,1,0,1,1,1,1,1,2
0,0,0,100,0,0,2,1,1,1,1,0,1,1,1,1,1,0
1,4,1,400,1,0,4,2,1,0,1,0,1,0,0,1,1,2
1,4,0,300,0,0,4,5,1,1,1,1,1,1,1,1,1,5
0,4,0,100,1,1,4,3,0,1,1,1,1,1,1,1,1,3
0,4,0,300,0,1,4,1,1,1,0,1,1,1,1,1,1,0
1,3,0,200,0,0,0,3,1,1,1,1,0,1,1,1,1,1
0,0,0,100,0,1,4,4,1,1,1,1,0,1,1,1,1,4
0,1,0,300,0,0,2,3,1,1,1,0,1,1,1,1,1,1
