"Timestamp","Gender","Education Level","College","Programme Level","Residence","Do you still use the university-provided SIM card?","How frequently do you use your sim?","How would you rate the connectivity strength of your network? (1 being the lowest, 5 being the highest)","What do you use your Telecel school-provided SIM card for?
* Making  calls","What do you use your Telecel school-provided SIM card for?
* Browsing  the internet","What do you use your Telecel school-provided SIM card for?
* Sending  texts message(SMS)","Do you use other networks besides your vodafone (Telecel)? *","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Poor Network Quality Coverage","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Unsatisfactory Customer Service","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Better services from other network providers","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* High Costs of Services","Do you exhaust your monthly data allowance? (5GB)","What is your approximate monthly data usage? (in GB)","What changes  or improvements  would you  like  to see in your school-provided  SIM card services? ......"
"2024/06/27 06:52:33 PM GMT","Male","Masters","College of Humanity and Social Science","100","Off-campus","No","Rarely","2","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","0-2","Improve network connection"
"2024/06/20 08:55:27 PM GMT","Female","Postgraduate","College of Science","100","On-campus","No","Rarely","3","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","0-2","Increase data allowance"
"2024/06/18 09:43:45 PM GMT","Male","Masters","College of Health Sciences","400","On-campus","No","Occasionally","5","Yes","Yes","No","No","Yes","No","No","No","Yes","No","0-2","Better customer service"
"2024/06/12 05:55:34 PM GMT","Female","Undergraduate","College of Science","200","Off-campus","Yes","Occasionally","2","No","No","No","Yes","No","Yes","No","Yes","Yes","No","6-8","Improve network connection"
"2024/06/24 06:24:43 PM GMT","Male","Postgraduate","College of Agriculture and Natural Resources","200","Off-campus","No","Several times a week","4","Yes","No","No","No","No","Yes","No","No","No","No","3-5","Improve network connection"
"2024/06/16 10:22:52 AM GMT","Female","Masters","School of Business","100","On-campus","No","Rarely","5","No","Yes","No","No","No","Yes","Yes","No","No","Yes","More than 8","Improve network connection"
"2024/06/28 02:13:46 PM GMT","Male","Postgraduate","College of Art and Built Environment","300","Off-campus","No","Several times a week","4","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","3-5",""
"2024/06/15 11:22:49 PM GMT","Female","Postgraduate","College of Humanity and Social Science","400","Off-campus","No","Never","5","No","Yes","Yes","No","No","No","No","No","No","No","3-5","Increase data allowance"
"2024/06/15 08:24:45 PM GMT","Female","Undergraduate","College of Science","200","Off-campus","Yes","Several times a week","4","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","More than 8","Cheaper data plans"
"2024/06/26 09:29:57 PM GMT","Male","Undergraduate","College of Humanity and Social Science","300","Off-campus","No","Daily","4","Yes","Yes","No","No","Yes","Yes","No","No","No","No","0-2","Better customer service"
"2024/06/16 08:24:34 PM GMT","Female","Masters","College of Humanity and Social Science","100","On-campus","Yes","Rarely","4","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","More than 8",""
"2024/06/13 09:17:23 PM GMT","Male","Masters","College of Engineering","300","Off-campus","Yes","Occasionally","4","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","6-8","Cheaper data plans"
"2024/06/23 09:17:27 AM GMT","Female","Masters","School of Business","100","Off-campus","Yes","Daily","5","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","0-2","Better customer service"
"2024/06/24 05:53:34 AM GMT","Female","Postgraduate","College of Engineering","100","On-campus","Yes","Rarely","3","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","More than 8","Cheaper data plans"
"2024/06/13 03:23:51 AM GMT","Female","Postgraduate","College of Humanity and Social Science","200","On-campus","No","Rarely","1","Yes","No","Yes","No","No","No","No","Yes","No","Yes","6-8","Better customer service"
"2024/06/21 09:18:01 AM GMT","Male","Postgraduate","School of Business","200","Off-campus","Yes","Occasionally","2","Yes","No","No","Yes","No","No","No","Yes","No","Yes","6-8","Better customer service"
"2024/06/26 03:48:29 PM GMT","Male","Postgraduate","College of Art and Built Environment","200","On-campus","No","Daily","1","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","More than 8",""
"2024/06/28 11:11:31 AM GMT","Female","Postgraduate","College of Engineering","400","On-campus","No","Daily","3","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","0-2","Better customer service"
"2024/06/29 09:04:33 AM GMT","Female","Masters","College of Humanity and Social Science","300","Off-campus","Yes","Never","1","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","6-8","Cheaper data plans"
"2024/06/19 08:04:16 AM GMT","Male","Masters","College of Science","400","Off-campus","Yes","Occasionally","1","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","More than 8","Improve network connection"
"2024/06/22 10:19:24 AM GMT","Male","Postgraduate","College of Science","300","On-campus","Yes","Rarely","1","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","6-8",""
"2024/06/19 05:52:48 AM GMT","Female","Postgraduate","College of Health Sciences","300","On-campus","Yes","Never","4","No","No","No","Yes","Yes","No","No","Yes","No","No","More than 8","Better customer service"
"2024/06/13 09:22:35 PM GMT","Male","Undergraduate","College of Art and Built Environment","100","On-campus","No","Occasionally","5","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","3-5","Cheaper data plans"
"2024/06/30 03:39:26 AM GMT","Female","Postgraduate","College of Art and Built Environment","200","Off-campus","No","Never","2","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","More than 8","Increase data allowance"
"2024/06/17 07:55:53 AM GMT","Male","Postgraduate","College of Science","300","Off-campus","Yes","Several times a week","2","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","More than 8",""
"2024/06/28 08:06:11 PM GMT","Female","Masters","College of Agriculture and Natural Resources","300","On-campus","Yes","Never","5","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","0-2","Better customer service"
"2024/06/12 06:50:08 PM GMT","Male","Undergraduate","College of Humanity and Social Science","100","On-campus","No","Rarely","3","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","More than 8","Improve network connection"
"2024/06/24 08:43:36 PM GMT","Female","Postgraduate","College of Science","200","Off-campus","Yes","Rarely","1","No","Yes","No","Yes","No","No","No","No","Yes","Yes","3-5","Better customer service"
"2024/06/18 04:31:28 AM GMT","Male","Masters","College of Art and Built Environment","200","Off-campus","Yes","Rarely","5","No","No","No","Yes","No","Yes","Yes","No","No","No","0-2",""
"2024/06/15 07:24:07 PM GMT","Male","Postgraduate","College of Health Sciences","300","On-campus","Yes","Rarely","3","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","0-2",""
"2024/06/28 08:21:33 PM GMT","Female","Undergraduate","College of Science","200","Off-campus","No","Occasionally","4","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","3-5","Improve network connection"
"2024/06/29 12:14:00 AM GMT","Female","Undergraduate","College of Art and Built Environment","100","On-campus","Yes","Several times a week","3","Yes","No","No","No","No","Yes","Yes","Yes","No","No","6-8","Cheaper data plans"
"2024/06/15 02:10:24 PM GMT","Female","Masters","College of Humanity and Social Science","200","Off-campus","No","Daily","2","No","No","Yes","No","No","No","Yes","No","Yes","No","3-5","Cheaper data plans"
