Gender,College,Churn,Level,Education_Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Multiple_Networks,Other_Networks_Better_Services,Poor_Network_Quality_Coverage,Insufficient_Data_Allowance,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage
Female,College of Engineering,No,300,Undergraduate,On-campus,Yes,Several times a week,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6-8
Female,College of Engineering,No,200,Undergraduate,Off-campus,Yes,Daily,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6-8
Male,College of Engineering,No,100,Undergraduate,Off-campus,Yes,Several times a week,4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,8 and more
Male,College of Engineering,No,100,Undergraduate,Off-campus,Yes,Daily,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more
Male,College of Engineering,No,200,Undergraduate,Off-campus,Yes,Occasionally,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more
Female,College of Engineering,No,200,Undergraduate,Off-campus,Yes,Daily,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more
Female,College of Engineering,No,100,Undergraduate,On-campus,No,Daily,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-2
Male,College of Engineering,No,100,Undergraduate,On-campus,No,Daily,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6-8
Male,College of Engineering,No,100,Undergraduate,On-campus,Yes,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4-6
Male,College of Engineering,No,200,Undergraduate,Off-campus,Yes,Occasionally,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2-4
Female,College of Engineering,No,300,Undergraduate,On-campus,Yes,Occasionally,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6-8
Female,College of Engineering,No,100,Undergraduate,On-campus,Yes,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more
Male,College of Engineering,No,300,Undergraduate,Off-campus,No,Rarely,2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more
Male,College of Engineering,No,100,Undergraduate,On-campus,Yes,Daily,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2-4
