Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage, Mobile data/Internet, SMS/Text messaging, Voice Calls,Mobile data/Internet,None of the above,SMS/Text messaging,Voice Calls
Female,School of Business,No,400,Off-campus,Yes,Occasionally,3,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance",1.82,0,0,0,0,0,0,1
Male,College of Agriculture and Natural Resources,No,400,Off-campus,Yes,Daily,6,Yes,Yes,Insufficient data allowance,6.64,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,200,On-campus,No,Several times a week,3,Yes,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",2.05,0,0,0,0,1,0,0
Male,College of Science,Yes,100,Off-campus,Yes,Daily,2,No,Yes,High costs/pricing,8.56,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Occasionally,4,Yes,Yes,"High costs/pricing, Unsatisfactory customer service",6.06,0,0,0,0,0,1,0
Female,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Several times a week,4,No,Yes,High costs/pricing,5.9,0,1,0,1,0,0,0
Female,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,3,No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",8.88,0,0,0,0,1,0,0
Female,School of Business,Yes,100,Off-campus,No,Several times a week,3,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",8.35,0,0,0,0,0,0,1
Male,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Occasionally,3,Yes,No,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",4.51,0,0,0,0,1,0,0
Male,College of Engineering,Yes,400,Off-campus,Yes,Occasionally,1,No,Yes,"Unsatisfactory customer service, High costs/pricing",7.56,0,1,0,1,0,0,0
Female,School of Business,Yes,600,Off-campus,No,Occasionally,1,Yes,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",3.01,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Daily,4,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",5.98,0,0,0,0,1,0,0
Male,College of Engineering,Yes,400,Off-campus,Yes,Never,4,No,Yes,"Unsatisfactory customer service, High costs/pricing",5.17,0,0,0,0,1,0,0
Female,School of Business,Yes,200,Off-campus,No,Daily,4,Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",3.53,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,600,Off-campus,No,Several times a week,2,No,Yes,High costs/pricing,5.18,0,0,0,0,1,0,0
Female,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,5,Yes,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",0.94,1,0,0,0,0,1,0
Male,School of Business,Yes,500,Off-campus,Yes,Several times a week,3,No,Yes,"Unsatisfactory customer service, Insufficient data allowance",3.74,0,0,0,0,1,0,0
Male,College of Engineering,Yes,400,Off-campus,No,Occasionally,5,No,Yes,High costs/pricing,4.86,0,1,0,0,0,0,1
Male,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Daily,3,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",1.28,0,0,0,0,0,0,1
Male,School of Business,No,300,Off-campus,No,Several times a week,3,No,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",3.86,0,0,0,0,0,0,1
Male,College of Art and Built Environment,Yes,500,Off-campus,Yes,Several times a week,2,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",9.64,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,5,No,Yes,"High costs/pricing, Unsatisfactory customer service",3.4,0,0,0,0,1,0,0
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,1,No,Yes,"Unsatisfactory customer service, High costs/pricing",4.89,0,0,0,0,1,0,0
Male,College of Art and Built Environment,No,600,Off-campus,Yes,Occasionally,1,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",4.84,0,0,0,0,1,0,0
Male,School of Business,Yes,300,Off-campus,No,Daily,6,Yes,Yes,"High costs/pricing, Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",6.43,0,0,0,0,1,0,0
Male,College of Art and Built Environment,No,200,Off-campus,No,Several times a week,5,Yes,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",7.25,0,0,0,0,1,0,0
Male,College of Science,No,100,Off-campus,Yes,Several times a week,5,Yes,Yes,None,5.17,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,200,Off-campus,No,Daily,1,No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",9.82,0,0,0,0,0,0,1
