Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Use_Other_More,Reasons_Other,Consider_Discontinue,Reasons_Discontinue,Additional_Feedback
Female,College of Engineering,No,Level 400,Off-campus,Yes,Daily,5,SMS/Text messaging,Yes,"MTN, AirtelTigo",False,"Better network coverage/signal strength, More affordable plans/pricing",No,Insufficient data allowance,SimGJKbgyUphCExWDF9YPrcA9rpN2AOlF2l52zlhBdYjzdll6OrBdPl0SE2CR
Male,College of Engineering,Yes,Level 500,Off-campus,Yes,Occasionally,1,"Mobile data/Internet, SMS/Text messaging, None of the above",Yes,Glo,False,More affordable plans/pricing,No,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",xvPludeWE6LuBoIStYbiNDQW6ph8cyGK81WUCPI3kQIOrXqbO0KxOgeHUQkeo8pVcDihlot
Female,College of Engineering,No,Level 500,Off-campus,No,Never,4,"None of the above, SMS/Text messaging, Voice Calls",Yes,Glo,False,"Faster internet speeds, Better network coverage/signal strength, Better customer service, More affordable plans/pricing",No,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",a82NsTygcut0xo4rPP1NAlnraR8Cd
Female,College of Engineering,No,Level 300,On-campus,No,Daily,3,"Mobile data/Internet, SMS/Text messaging",Yes,"Glo, MTN",True,More affordable plans/pricing,Yes,"Unsatisfactory customer service, Insufficient data allowance",Kvdykofvq8wuI35ZlT0dpiLNuvstpBpv5tOqj0mVyCABzbDpGS3LrplgSETl
Male,College of Engineering,No,Level 400,On-campus,Yes,Daily,2,"Voice Calls, Mobile data/Internet, None of the above",Yes,AirtelTigo,True,"Faster internet speeds, More affordable plans/pricing, Better network coverage/signal strength, Better customer service",No,Insufficient data allowance,4IG0j4Z4zCw3M2VYhJ4xTyJDJgN7w7OnRMLRio
Female,College of Engineering,Yes,Level 100,On-campus,Yes,Rarely,1,"Voice Calls, None of the above",Yes,"MTN, Glo",True,"Faster internet speeds, More affordable plans/pricing, Better customer service, Better network coverage/signal strength",No,Insufficient data allowance,kLFE6eHiFym1ZoyxLDN5bl5pbsMv
Male,College of Engineering,Yes,Level 200,On-campus,No,Daily,1,None of the above,No,MTN,False,"Faster internet speeds, Better network coverage/signal strength",No,High costs/pricing,qqavfEax98DrqZzyEBJc6CdC
Female,College of Engineering,No,Level 100,On-campus,Yes,Several times a week,1,"Mobile data/Internet, SMS/Text messaging, Voice Calls, None of the above",No,"MTN, AirtelTigo",False,"Faster internet speeds, More affordable plans/pricing",Yes,Insufficient data allowance,ZcGhy1ggmpbg0BV4OWgCsjrsiLXg6zzRs77sxpLLhcb6sZnUBIL5OwbQTGvzuImXectW0bGBkgjjaioQ
Female,College of Engineering,Yes,Level 400,On-campus,No,Never,5,"SMS/Text messaging, Voice Calls, Mobile data/Internet",No,"AirtelTigo, MTN",False,"Better network coverage/signal strength, Better customer service, Faster internet speeds, More affordable plans/pricing",No,High costs/pricing,OnhHQcvPNTXmvuyGzjFz7aExusb
Male,College of Engineering,No,Level 600,Off-campus,No,Several times a week,1,"Mobile data/Internet, None of the above, SMS/Text messaging",No,Glo,True,"Better customer service, Faster internet speeds",No,Poor network quality/coverage,zGzTBOsFS4cCacXGY7RavZfTuzaix2GhGYMyJf1TxD4j0qe3PNcqRdajACsR8KaZOMLquJVhnSuC4bD
Female,College of Engineering,Yes,Level 200,On-campus,No,Never,3,None of the above,Yes,"AirtelTigo, MTN, Glo",True,Better customer service,Yes,High costs/pricing,kxXTe24AQ12QSucdEAHEzIMhs8xoVWVDBTxXhgoiwI
Male,College of Engineering,No,Level 400,On-campus,Yes,Several times a week,3,"Mobile data/Internet, Voice Calls, SMS/Text messaging, None of the above",No,"Glo, MTN, AirtelTigo",True,"Faster internet speeds, More affordable plans/pricing",No,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",yK2YFXCs9EZoqLzS3svF5evBLubsG25seGBGoPb9s6IZ
Male,College of Engineering,No,Level 400,Off-campus,Yes,Never,5,"Mobile data/Internet, None of the above, SMS/Text messaging",No,"AirtelTigo, Glo, MTN",True,"More affordable plans/pricing, Better network coverage/signal strength, Better customer service, Faster internet speeds",Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service",mlu2JzVIMH1wnYD7agRUCIlRcDXK1c8HkmZb4uFa8YOVy4hxgniUMcu0fiJpqeEN1uj0M6XI5IRuUgxSsm7p6h5Ztz78Yp
Female,College of Engineering,No,Level 400,Off-campus,Yes,Never,5,"SMS/Text messaging, Mobile data/Internet, Voice Calls",No,MTN,False,"More affordable plans/pricing, Better network coverage/signal strength",Yes,"Unsatisfactory customer service, High costs/pricing",FMx2fQd3mN8o0veUoNQMlNkCoPWPymE5F3zLGrMvzhOqE1IkhikM1MMIBTqXeAsYQZHNFeosFC
Male,College of Engineering,Yes,Level 600,Off-campus,No,Never,3,"None of the above, SMS/Text messaging, Voice Calls",No,"AirtelTigo, Glo",False,"Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing",No,"Poor network quality/coverage, High costs/pricing",FxGnaBn2jknjOmTtkBLAGKUkqIXlDL8hyMLcEFQSzlbVtbwtYFL
Male,College of Engineering,No,Level 100,Off-campus,Yes,Occasionally,3,Mobile data/Internet,No,"Glo, AirtelTigo, MTN",False,"Better customer service, More affordable plans/pricing, Faster internet speeds",Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",gA862wKNMbBOHNrCgRgeS1jrYlhj1wky2Xp8KvZfB0wyYoDm
Female,College of Engineering,Yes,Level 300,On-campus,No,Never,3,"None of the above, Voice Calls, Mobile data/Internet",Yes,"AirtelTigo, Glo",False,Better network coverage/signal strength,No,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",hkcHfy7d6KGDGP6gmLh75QZqKzCNgoLFVVRT4RsI58CPCP62pLYfxyIRVgyZedWJyFG
Female,College of Engineering,Yes,Level 100,On-campus,No,Several times a week,2,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,"AirtelTigo, MTN",True,Better network coverage/signal strength,No,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",vqBdIBxFefnP9nBpHeQFTTjYhaZiVe7qN5c3fjHyIGvNAH3I8hSEK9nQo4
Female,College of Engineering,No,Level 200,Off-campus,Yes,Occasionally,5,"None of the above, Voice Calls, SMS/Text messaging",Yes,"Glo, MTN",False,"Faster internet speeds, More affordable plans/pricing",No,"Unsatisfactory customer service, Insufficient data allowance",SpyLDvIf7wjHg4P5W4fwnXeSN9fn9L0iCsCyJ8Xork1aBiPt9e3vfBpPrfS9rvRkzrc73Fg
Female,College of Engineering,No,Level 200,Off-campus,Yes,Daily,5,"Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,"AirtelTigo, Glo, MTN",False,"Better customer service, Faster internet speeds",No,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",TOaJIEBKGosIgeQuV8nkcbgKymXfrEQfaBLYL8
Female,College of Engineering,Yes,Level 500,Off-campus,No,Several times a week,1,"Mobile data/Internet, Voice Calls, None of the above, SMS/Text messaging",Yes,"MTN, AirtelTigo, Glo",True,"More affordable plans/pricing, Better network coverage/signal strength, Faster internet speeds, Better customer service",Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",jmlHpFsUWq1QFxAxd2D9hW13TpiWSDOuldnBRc2S77VysaN5u6t6h
Female,College of Engineering,No,Level 100,Off-campus,Yes,Never,2,SMS/Text messaging,No,"MTN, AirtelTigo, Glo",False,Better customer service,Yes,"Poor network quality/coverage, High costs/pricing",AIhROQQi9XPSVnE45tatEYwrfcE3V4kjuh5ATNl84Euv8PxBEYPTCxPcYrDee1qJkx
Female,College of Engineering,No,Level 200,Off-campus,No,Never,4,"SMS/Text messaging, None of the above",No,MTN,False,"Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing",Yes,"Poor network quality/coverage, Insufficient data allowance",mYSW1nDym8HXJoSxc0q9ZOPGwXTWN6BX9GCLkMU2G6DyXA1YQGk2j2OgjUS73zgpX2KnqeNje6I0z966dwQdAg5q4Yv
Female,College of Engineering,Yes,Level 200,Off-campus,No,Occasionally,2,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",Yes,"Glo, MTN, AirtelTigo",True,"Better customer service, Faster internet speeds",No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",SaP6hJ1LpGXZoxTqwdKh3wVGbCFKfp
