Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Other_Networks,Poor_Network_Quality_Coverage,Insufficient_Data_Allowance,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage
Female,College of Humanities and Social Sciences,No,100,On-campus,No,Occasionally,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.68
Male,College of Humanities and Social Sciences,Yes,100,Off-campus,No,Several times a week,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1.74
Male,College of Art and Built Environment,No,200,Off-campus,No,Never,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.25
Female,College of Humanities and Social Sciences,No,400,On-campus,Yes,Daily,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.67
Female,College of Humanities and Social Sciences,Yes,400,On-campus,Yes,Occasionally,5,No,No,Yes,Yes,Yes,No,No,No,Yes,0.5
Male,College of Science,No,600,Off-campus,Yes,Daily,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,9.4
Female,College of Art and Built Environment,No,300,Off-campus,Yes,Daily,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0.58
Female,College of Health Sciences,No,300,Off-campus,Yes,Daily,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.87
Male,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,3,No,Yes,No,No,Yes,No,No,No,No,2.54
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Several times a week,1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5.13
Female,College of Agriculture and Natural Resources,No,300,Off-campus,Yes,Daily,3,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,3.12
Male,College of Health Sciences,Yes,100,On-campus,Yes,Occasionally,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,9.1
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Occasionally,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.32
Female,College of Science,No,400,Off-campus,Yes,Occasionally,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.45
Female,College of Art and Built Environment,No,200,Off-campus,Yes,Never,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.75
