Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Other_Networks,Poor_Network_Quality_Coverage,Insufficient_Data_Allowance,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage
Female,College of Agriculture and Natural Resources,No,400,Off-campus,Yes,Daily,3,Yes,Yes,Yes,No,Yes,No,Yes,No,No,5.58
Female,College of Science,Yes,500,Off-campus,No,Several times a week,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2.2
Female,College of Engineering,Yes,100,Off-campus,Yes,Daily,2,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5.95
Female,College of Art and Built Environment,Yes,400,On-campus,No,Daily,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.5
Female,College of Humanity and Social Science,Yes,200,On-campus,Yes,Several times a week,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.48
Male,College of Science,Yes,200,Off-campus,Yes,Never,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.19
Male,College of Humanity and Social Science,Yes,100,Off-campus,Yes,Occasionally,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.45
Male,College of Art and Built Environment,No,200,Off-campus,No,Daily,5,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,7.96
Male,College of Engineering,Yes,300,Off-campus,No,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.53
Male,College of Agriculture and Natural Resources,No,100,Off-campus,No,Never,2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,8.87
Male,School of Business,No,400,Off-campus,No,Several times a week,4,Yes,Yes,No,Yes,Yes,No,Yes,No,No,7.74
Male,College of Science,Yes,100,Off-campus,No,Daily,2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,7.67
Female,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Several times a week,2,Yes,No,No,Yes,Yes,Yes,No,No,Yes,2.19
Female,College of Humanity and Social Science,Yes,100,On-campus,Yes,Rarely,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.79
Female,College of Humanity and Social Science,No,300,Off-campus,Yes,Never,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,7.87
Male,School of Business,Yes,100,Off-campus,Yes,Daily,5,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5.26
Female,College of Art and Built Environment,Yes,300,Off-campus,No,Daily,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.9
Female,College of Science,No,600,Off-campus,No,Several times a week,4,No,Yes,Yes,No,Yes,No,No,No,Yes,3.64
Female,School of Business,Yes,400,Off-campus,Yes,Rarely,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.03
Male,College of Art and Built Environment,Yes,100,Off-campus,Yes,Occasionally,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.91
Male,College of Science,No,200,On-campus,Yes,Several times a week,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,8.15
Female,College of Engineering,Yes,100,On-campus,Yes,Daily,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8.47
Male,College of Science,Yes,600,Off-campus,No,Daily,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.35
Male,College of Engineering,No,300,Off-campus,No,Several times a week,2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,6.04
Female,College of Engineering,Yes,200,Off-campus,No,Never,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.49
Male,College of Science,Yes,400,On-campus,No,Rarely,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7.92
Female,School of Business,Yes,200,Off-campus,No,Occasionally,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.85
Female,College of Humanity and Social Science,Yes,400,On-campus,No,Several times a week,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.2
Male,College of Agriculture and Natural Resources,Yes,200,Off-campus,Yes,Several times a week,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.27
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Several times a week,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.83
Female,College of Art and Built Environment,Yes,300,Off-campus,No,Daily,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.72
Male,College of Art and Built Environment,Yes,400,Off-campus,No,Occasionally,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8.49
Female,College of Art and Built Environment,No,200,On-campus,No,Daily,4,Yes,No,Yes,No,No,No,No,Yes,No,6.02
Female,School of Business,Yes,300,On-campus,No,Occasionally,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.99
Female,College of Science,Yes,300,Off-campus,No,Occasionally,1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,7.71
Male,School of Business,No,300,Off-campus,No,Daily,4,Yes,Yes,Yes,No,No,No,Yes,No,Yes,8.94
Male,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Several times a week,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.61
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.66
Female,College of Engineering,Yes,400,Off-campus,Yes,Daily,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.31
Male,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.42
Male,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Several times a week,4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.26
Female,College of Agriculture and Natural Resources,No,400,On-campus,Yes,Several times a week,1,Yes,Yes,Yes,No,Yes,No,No,No,No,9.45
Male,School of Business,Yes,200,Off-campus,No,Occasionally,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.59
Female,School of Business,Yes,500,Off-campus,Yes,Several times a week,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.39
Male,College of Agriculture and Natural Resources,Yes,600,Off-campus,No,Several times a week,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.05
Male,School of Business,Yes,400,Off-campus,Yes,Several times a week,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.8
Female,College of Science,No,400,Off-campus,No,Occasionally,1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,4.64
Male,College of Art and Built Environment,Yes,200,Off-campus,No,Daily,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.11
Male,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Occasionally,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.8
Male,College of Art and Built Environment,No,200,Off-campus,Yes,Several times a week,5,Yes,Yes,No,No,Yes,No,No,No,No,7.99
Male,College of Art and Built Environment,No,400,Off-campus,Yes,Several times a week,5,Yes,Yes,Yes,Yes,No,No,No,No,No,5.06
Female,College of Agriculture and Natural Resources,No,200,Off-campus,Yes,Never,2,Yes,Yes,Yes,Yes,No,No,Yes,No,No,7.41
Female,College of Engineering,Yes,500,Off-campus,No,Daily,3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5.01
Male,College of Engineering,No,100,Off-campus,Yes,Rarely,4,No,No,No,No,Yes,No,Yes,Yes,No,6.33
Male,College of Agriculture and Natural Resources,Yes,400,On-campus,No,Daily,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.45
Female,College of Science,Yes,300,On-campus,No,Daily,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.84
Male,School of Business,Yes,200,Off-campus,Yes,Daily,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.76
Female,College of Agriculture and Natural Resources,Yes,600,Off-campus,Yes,Daily,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.27
Male,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Several times a week,3,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.03
Male,College of Engineering,Yes,300,Off-campus,Yes,Several times a week,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.0
Male,College of Art and Built Environment,Yes,400,Off-campus,Yes,Several times a week,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.79
Male,School of Business,Yes,300,On-campus,Yes,Daily,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.75
Female,College of Art and Built Environment,Yes,600,Off-campus,No,Several times a week,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.95
Male,College of Science,Yes,400,Off-campus,No,Daily,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.22
Female,College of Science,Yes,100,Off-campus,No,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.03
Female,College of Science,No,500,Off-campus,Yes,Occasionally,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8.27
Female,College of Art and Built Environment,Yes,300,On-campus,No,Daily,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.71
Male,College of Science,No,100,Off-campus,No,Occasionally,5,Yes,Yes,Yes,No,Yes,No,No,No,No,0.79
Male,College of Science,No,100,Off-campus,Yes,Several times a week,5,Yes,Yes,No,No,Yes,No,No,No,No,3.15
Male,College of Engineering,No,600,On-campus,Yes,Several times a week,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,5.51
Male,College of Science,No,300,Off-campus,No,Occasionally,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,3.24
Male,College of Engineering,Yes,400,Off-campus,Yes,Daily,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.81
Male,College of Humanity and Social Science,Yes,100,On-campus,No,Daily,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.73
Female,College of Engineering,Yes,100,Off-campus,Yes,Daily,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.73
Female,School of Business,Yes,300,Off-campus,No,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.07
